건축물명,건축물 위치,층수(지상_지하),조사년도,총발생량(톤),일평균발생량(톤/일),미사용_하수도방류(톤/일)
메가빌딩,노원구 노해로 459(상계동),14/4,2015,1748.0,9.0,9.0
신동아아파트,노원구 상계로 37길 19(상계동),14~15/2,2015,1104.0,6.0,6.0
경원선민자역사 신축공사(창동역),창4동 135,10층/2층,2015,3798.0,20.0,20.0
창동월가타워,창4동 7 ,15층/1층,2015,0.0,0.0,0.0
성원아파트,창4동 743-15 (마들로16길 56),17층/2층(2개동),2015,1554.0,8.0,8.0
도봉한양수자인아파트,도봉2동657(마들로724),15층/3층,2015,4320.0,23.0,23.0
대동아파트,창5동 811(도봉로642-30),지상19층(2개동),2015,4320.0,23.0,23.0
신동아 아파트,방학3동 272(방학로 193),12층/1층(15개동),2015,10932.0,59.0,59.0
수유역푸르지오시티,도봉로 290(미아동),20/3,2015,2295.0,12.0,12.0
강북제일교회,도봉로 214(미아동),5/3,2015,12960.0,70.0,70.0
