"건축물명","건축물 위치","층수(지상_지하)","연면적","조사년도","총발생량(톤)","일평균발생량(톤/일)","일평균이용현황(톤/일)_하천방류","일평균이용현황(톤/일)_도로청소","일평균이용현황(톤/일)_공원용수","일평균이용현황(톤/일)_화장실세척","일평균이용현황(톤/일)_건물용수","미사용_하수도방류(톤/일)","일평균이용현황(톤/일)_기타건물용수"
"마포더클래시","신촌로28길 50","/","","2024","1381.40","7.59","","","","","0.00","7.59",""
"공덕자이아파트","아현동 799","/","","2024","2968.40","16.31","","","","","0.00","16.31",""
"(주)반도건설(신촌2에피소드 신축공사현장)","노고산동 49-29","/","","2024","240.20","1.32","","","","","0.00","1.32",""
"주식회사타디그레이드홀딩스(LC타워)","동교동 167-13","10/7","27514.34","2024","1962.00","10.78","","","","","0.00","10.78",""
"신세계건설(빌리브디에이블 공사현장)","노고산동 107-46","/","","2024","400.40","2.20","","","","","0.00","2.20",""
"서울시 데이터센터","매봉산로 31","21/7","81969.8","2024","6901.40","37.92","","","","","0.00","37.92",""
"9BRICK HOTEL(호텔)","홍익로5길 32","16/2","3784.07","2024","0.00","","","","","","0.00","0.00",""
"쎄덱(파인빌)","와우산로17길 18","5/3","1870.45","2024","0.00","0.00","","","","","0.00","0.00",""
"사보이시티디엠씨","월드컵북로54길 17","16/4","39175.31","2024","294.80","1.62","","","","","0.00","1.62",""
"에스제이에이뮤직","와우산로25길 6","5/4","2567.67","2024","0.00","0.00","","","","","0.00","0.00",""
"파크팰리스2(오피스텔)","마포대로 143","21/4","25553.62","2024","27.30","0.15","","","","","0.00","0.15",""
"한화 꿈에그린아파트","마포대로10길 22","/","31837.56","2024","0.00","","","","","","0.00","0.00",""
"누디트 홍대","서교동 460-25","7/3","17607","2024","4253.30","23.37","","","","","0.00","23.37",""
"소금나루도서관","숭문길 72","3/3","3991","2024","18451.20","101.38","","","","","0.00","101.38",""
"엘씨타워(LC TOWER)","양화로 186","10/7","3263","2024","0.00","","","","","","0.00","0.00",""
"마포프레스티지자이아파트","염리동 507","27/5","80217","2024","19233.80","105.68","","","","","0.00","105.68",""
"이랜드PEER","서강로 75-16","16/5","32791","2024","7223.60","39.69","","","","","0.00","39.69",""
"현대썬앤빌","장한로 91(장안동 373-3)","20층/지하4층","24262.99","2024","0.00","0.00","","","","","0.00","0.00",""
"그레이스앤존","장한로23길 11-9(장안동 372-7)","13층/지하1층","14603","2024","182.00","1.00","","","","","0.00","1.00",""
"홈플러스 동대문점","천호대로 133(용두동 33-1)","6층/지하3층","43178","2024","3057.60","16.80","","","","","0.00","16.80",""
